Series Name,Series Code,Country Name,Country Code,2001 [YR2001],2002 [YR2002],2003 [YR2003],2011 [YR2011],2012 [YR2012],2013 [YR2013],2021 [YR2021],2022 [YR2022],2023 [YR2023]
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Guinea-Bissau,GNB,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Guyana,GUY,..,..,..,..,..,..,18.9166507720947,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Haiti,HTI,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Honduras,HND,..,..,..,..,35.0620002746582,..,49.7690010070801,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Hong Kong SAR, China",HKG,7.04107999801636,5.91375017166138,7.85361003875732,1.7402800321579,0.0793799981474876,..,4.08869981765747,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Hungary,HUN,0.318690001964569,..,..,..,1.19190001487732,1.57666003704071,5.30612993240356,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Iceland,ISL,0.623969972133636,..,0.290399998426437,0.80374002456665,0.886389970779419,0.781130015850067,0.99523001909256,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,India,IND,..,..,..,..,..,15.3823204040527,10.831000328064,11.4709997177124,15.2040004730225
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Indonesia,IDN,24.8034896850586,25.8630294799805,21.7563400268555,14.5664901733398,13.7618103027344,10.8642101287842,8.42000007629395,8.49600028991699,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Iran, Islamic Rep.",IRN,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Iraq,IRQ,..,..,35.8595809936523,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Ireland,IRL,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Israel,ISR,0.463869988918304,0.171759992837906,0.285879999399185,1.30078995227814,1.30412995815277,1.43923997879028,2.86708998680115,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Italy,ITA,..,..,..,..,0.204689994454384,0.573379993438721,1.21938002109528,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Jamaica,JAM,20.6042900085449,19.3711490631104,16.9766902923584,..,..,..,21.8908805847168,19.7847194671631,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Japan,JPN,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Jordan,JOR,..,12.5717000961304,13.5252103805542,21.0224304199219,..,19.0915298461914,27.0440292358398,25.4471702575684,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kazakhstan,KAZ,..,0.424290001392365,0.867389976978302,..,..,0.901000022888184,2.23099994659424,2.02900004386902,1.79700005054474
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kenya,KEN,..,16.9360294342041,1.63933002948761,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kiribati,KIR,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Korea, Dem. People's Rep.",PRK,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Korea, Rep.",KOR,..,1.61637997627258,3.32846999168396,..,..,..,1.02163994312286,0.364160001277924,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kuwait,KWT,9.04983043670654,..,5.80049991607666,5.36199998855591,8.23363018035889,11.4601802825928,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Kyrgyz Republic,KGZ,..,..,..,9.83199977874756,9.48600006103516,9.78600025177002,5.0310001373291,4.66599988937378,5.17000007629395
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Lao PDR,LAO,23.9047794342041,21.8042697906494,21.8695602416992,23.3914108276367,23.0380001068115,22.621000289917,32.0069999694824,34.9199981689453,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Latvia,LVA,..,..,..,0.626299977302551,1.29498994350433,1.70492994785309,1.72206997871399,1.65094995498657,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Lebanon,LBN,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Lesotho,LSO,26.0330791473389,24.8340797424316,21.6824893951416,18.6487407684326,19.1638298034668,18.760950088501,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Liberia,LBR,..,..,..,9.48099994659424,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Libya,LBY,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Liechtenstein,LIE,..,..,7.29760980606079,1.9025000333786,2.99624991416931,..,1.50565004348755,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Lithuania,LTU,..,..,..,0.305420011281967,0.199210003018379,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Luxembourg,LUX,16.7069606781006,16.4308109283447,17.6688594818115,3.41888999938965,2.46424007415771,5.10612010955811,3.83488988876343,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Macao SAR, China",MAC,9.8911304473877,10.2146396636963,10.0860500335693,12.1463298797607,12.6711902618408,9.5,12.7976198196411,8.79761981964111,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Madagascar,MDG,44.4793815612793,..,38.8787612915039,..,..,..,32.7970008850098,36.1160011291504,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Malawi,MWI,..,..,..,..,15.4219999313354,16.3507709503174,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Malaysia,MYS,7.45410013198853,10.8584203720093,6.64802980422974,11.0958404541016,11.4333400726318,11.5368404388428,15.9899997711182,12.3900003433228,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Maldives,MDV,10.0356502532959,11.2998199462891,..,..,9.24499988555908,15.6140003204346,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mali,MLI,..,..,..,42.3760795593262,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Malta,MLT,..,..,..,..,..,..,0.503380000591278,1.23262000083923,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mauritania,MRT,53.6539497375488,52.9706115722656,..,..,24.7811393737793,38.23876953125,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mauritius,MUS,12.3842401504517,18.1595993041992,..,..,..,4.47399997711182,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mexico,MEX,..,11.686619758606,8.83903026580811,7.57111978530884,7.33615016937256,4.58550977706909,9.20705032348633,9.40205955505371,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Micronesia, Fed. Sts.",FSM,..,..,..,..,..,..,21.6959991455078,18.1200008392334,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Moldova,MDA,7.78964996337891,7.87497997283936,8.19690990447998,13.3886299133301,12.6941204071045,13.9176397323608,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mongolia,MNG,25.0123805999756,20.9531097412109,12.370059967041,..,..,..,3.93499994277954,5.33599996566772,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Montenegro,MNE,..,..,..,..,..,..,0.986440002918243,1.10029995441437,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Morocco,MAR,..,..,28.4410800933838,16.2967491149902,12.5351495742798,..,7.24571990966797,3.16326999664307,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Mozambique,MOZ,41.675479888916,27.7656593322754,..,29.8429298400879,32.3622817993164,32.0805892944336,..,39.1129989624023,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Myanmar,MMR,50.849910736084,50.2006797790527,50.2951698303223,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Namibia,NAM,15.1398801803589,7.09867000579834,15.9916801452637,..,6.64300012588501,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Nepal,NPL,..,..,..,..,..,..,10.4759998321533,6.87400007247925,1.17999994754791
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Netherlands,NLD,..,1.15313005447388,..,0.478450000286102,0.412849992513657,..,0.558550000190735,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,New Caledonia,NCL,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,New Zealand,NZL,..,..,..,..,..,3.15617990493774,1.67111003398895,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Nicaragua,NIC,39.2086906433105,34.1754302978516,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Niger,NER,86.1870269775391,85.7752380371094,85.7637405395508,76.5577774047852,..,..,70.1210021972656,72.0270004272461,74.5820007324219
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Nigeria,NGA,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,North Macedonia,MKD,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Norway,NOR,0.970040023326874,1.19034004211426,1.16705000400543,..,..,0.0767799988389015,0.31538999080658,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Oman,OMN,16.1063804626465,15.7458696365356,17.3649806976318,..,..,..,12.6387195587158,14.2374801635742,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Pakistan,PAK,..,..,..,..,..,..,20.8010005950928,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Panama,PAN,18.4243793487549,16.8735008239746,..,11.0542497634888,..,7.69259977340698,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Papua New Guinea,PNG,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Paraguay,PRY,11.1689796447754,11.2016201019287,10.7993803024292,7.07343006134033,..,..,19.5554904937744,18.6144504547119,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Peru,PER,5.2739200592041,6.66411018371582,..,..,..,..,5.77859020233154,2.39821004867554,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Philippines,PHL,13.0663204193115,10.0735597610474,9.24765968322754,..,..,..,18.7749996185303,13.5939998626709,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Poland,POL,2.110680103302,2.39949011802673,1.97400999069214,2.96209001541138,3.33033990859985,3.49787998199463,4.00582981109619,2.80597996711731,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Portugal,PRT,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Puerto Rico,PRI,..,..,..,10.0204200744629,11.8639402389526,8.54588031768799,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Qatar,QAT,21.0593605041504,22.60080909729,..,4.24200010299683,5.73303985595703,1.99495995044708,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Romania,ROU,5.34562015533447,2.09592008590698,7.03802013397217,5.26883983612061,6.73417997360229,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Russian Federation,RUS,..,..,..,..,..,6.52586984634399,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Rwanda,RWA,..,..,..,..,..,..,11.7454395294189,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Samoa,WSM,25.6092300415039,..,..,0.655070006847382,0.0419999994337559,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,San Marino,SMR,..,..,..,..,..,..,11.837459564209,5.22523021697998,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sao Tome and Principe,STP,..,..,33.3760185241699,..,15.3809995651245,12.1365699768066,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Saudi Arabia,SAU,..,..,..,..,..,11.3521099090576,..,0.734489977359772,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Senegal,SEN,..,..,..,..,45.0550003051758,44.3289985656738,..,65.5059814453125,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Serbia,SRB,..,..,..,..,..,0.637860000133514,2.0901300907135,4.63868999481201,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Seychelles,SYC,..,..,..,..,..,..,..,5.65415000915527,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sierra Leone,SLE,..,..,..,..,39.2169990539551,41.6871490478516,19.6586608886719,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Singapore,SGP,..,..,..,..,..,..,0.610899984836578,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Slovak Republic,SVK,..,1.01575994491577,0.69744998216629,2.61593008041382,2.90419006347656,3.13284993171692,4.42569017410278,3.23453998565674,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Slovenia,SVN,2.1118700504303,1.56833004951477,3.03296995162964,2.17062997817993,2.34413003921509,2.40913009643555,1.72872996330261,1.41281998157501,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Somalia,SOM,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,South Africa,ZAF,23.0970001220703,23.9933795928955,23.6447296142578,..,..,..,8.46533966064453,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,South Sudan,SSD,..,..,..,29.6399192810059,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Spain,ESP,..,..,..,1.4976099729538,2.18287992477417,2.54800009727478,3.03685998916626,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sri Lanka,LKA,..,..,..,10.0835695266724,10.0211000442505,9.30000019073486,3.61100006103516,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,St. Kitts and Nevis,KNA,..,11.5490999221802,14.7552404403687,..,13.1134395599365,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,St. Lucia,LCA,25.8784694671631,38.4432983398438,31.2202892303467,11.8030700683594,9.09881973266602,8.63261032104492,12.3439998626709,16.3698291778564,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,St. Vincent and the Grenadines,VCT,..,..,3.14195990562439,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sudan,SDN,..,..,..,50.1979103088379,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Suriname,SUR,..,..,..,20.7262706756592,19.9207897186279,21.0431804656982,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Sweden,SWE,..,..,..,4.46533012390137,2.6584300994873,0.808839976787567,0.332120001316071,0.428640007972717,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Switzerland,CHE,2.43759989738464,1.55779004096985,1.75811994075775,..,..,0.757679998874664,0.258009999990463,0.281049996614456,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Syrian Arab Republic,SYR,31.5356292724609,29.6551704406738,17.4001693725586,6.63360023498535,6.56669998168945,42.3282318115234,53.8737411499023,54.9355010986328,54.1342506408691
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Tajikistan,TJK,12.1591300964355,7.84188985824585,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Tanzania,TZA,..,..,..,..,56.1100006103516,57.5509986877441,52.1860008239746,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Thailand,THA,..,..,..,..,..,..,5.93100023269653,..,2.38199996948242
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Timor-Leste,TLS,..,..,..,16.6502094268799,15.2209997177124,15.9700002670288,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Togo,TGO,23.2399101257324,..,21.2764701843262,..,..,..,16.2253608703613,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Tonga,TON,23.9354190826416,..,..,..,8.91100025177002,12.6820001602173,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Trinidad and Tobago,TTO,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Tunisia,TUN,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Turkiye,TUR,..,..,..,1.30935001373291,0.839119970798492,0.833620011806488,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Turkmenistan,TKM,..,..,..,..,..,..,..,0.994620025157928,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Turks and Caicos Islands,TCA,..,..,..,..,..,..,23.5779991149902,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Tuvalu,TUV,..,..,..,..,..,..,11.7647104263306,9.34782981872559,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Uganda,UGA,..,..,..,..,41.1310005187988,45.3120002746582,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Ukraine,UKR,..,5.33150005340576,4.67462015151978,2.52160000801086,2.42438006401062,2.21001005172729,11.9041795730591,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,United Arab Emirates,ARE,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,United Kingdom,GBR,0.536149978637695,..,0.503189980983734,1.8530900478363,5.22133016586304,1.42613005638123,1.67543005943298,3.14036989212036,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,United States,USA,..,..,..,..,..,..,..,1.22965002059937,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Uruguay,URY,..,..,..,16.2242698669434,16.0692901611328,..,4.28399991989136,3.70900011062622,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Uzbekistan,UZB,..,..,..,5.58669996261597,5.97599983215332,6.58699989318848,0.152999997138977,..,0.115000002086163
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Vanuatu,VUT,18.622989654541,14.682149887085,14.7934703826904,..,..,..,13.5228099822998,2.85400009155273,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Venezuela, RB",VEN,22.174919128418,20.1558094024658,18.8961505889893,12.8355197906494,11.8414897918701,9.82495021820068,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Viet Nam,VNM,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,West Bank and Gaza,PSE,19.4486198425293,16.3171100616455,13.049280166626,12.4661197662354,11.6713304519653,11.377459526062,4.90508985519409,6.05663013458252,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,"Yemen, Rep.",YEM,..,..,..,..,31.8367595672607,28.4465293884277,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Zambia,ZMB,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Zimbabwe,ZWE,..,6.07002019882202,9.12893009185791,..,4.16185998916626,3.49312996864319,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Africa Eastern and Southern,AFE,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Africa Western and Central,AFW,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Arab World,ARB,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Caribbean small states,CSS,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Central Europe and the Baltics,CEB,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Early-demographic dividend,EAR,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,East Asia & Pacific,EAS,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,East Asia & Pacific (excluding high income),EAP,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,East Asia & Pacific (IDA & IBRD countries),TEA,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Euro area,EMU,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Europe & Central Asia,ECS,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Europe & Central Asia (excluding high income),ECA,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Europe & Central Asia (IDA & IBRD countries),TEC,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,European Union,EUU,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Fragile and conflict affected situations,FCS,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,Heavily indebted poor countries (HIPC),HPC,..,..,..,..,..,..,..,..,..
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,High income,HIC,3.45500493049622,3.15516495704651,3.03983998298645,2.09557509422302,1.93705999851227,1.79287505149841,1.75241255760193,1.7171825170517,1.67793250083923
"Adolescents out of school, male (% of male lower secondary school age)",SE.SEC.UNER.LO.MA.ZS,IBRD only,IBD,..,..,..,..,..,..,..,..,..
